,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
211,,"> 90%, Up to 92%",80+ Gold,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@58A,-12V@0.5A,+5VSB@2.5A",4,,,VALENS-700M,ATX12V / EPS12V,700 W
212,,,80+ Bronze,,Enermax,,Semi,,1,,,ERB600AWT,ATX,600 W
213,,,80+ Bronze,,NZXT,HALE82N 650W,False,"+3.3V@28A, +5V@28A, +12V@50A, -12V@0.5A, +5VSB@3.5A",4,,,NP-1BN-0650A-US / NP-1BN-0650A-UK,ATX12V / EPS12V,650 W
214,,,80+,,Corsair,VS400,False,,,1,,CP-9020117-NA,ATX,400 W
215,,> 87%,80+ Bronze,,Kingwin,,Semi,,3,3,,LZ-1000,ATX12V / EPS12V,1000 W
216,,92%,80+ Gold,,BitFenix,,Full,,6,,,BP-WG850UMAG-7FM / BP-WG850UMAG-0FM / BP-WG850UMAG-6FM / BP-WG850UMAG-8FM / BP-WG850UMAG-9FM,ATX12V,850 W
217,,< 85%,,,Solid Gear,,False,,,,,SDGR-FLEX220,Flex ATX,220 W
218,,< 82%,80+ Bronze,,SeaSonic,,False,,,,,SS-400ET Bronze,ATX12V / EPS12V,400 W
219,Black,,80+ Platinum,,SeaSonic,PRIME Ultra Platinum 650,Full,,4,,,SSR-650PD2,ATX,650 W
220,Black / Gold,88-94%,80+ Gold,,Enermax,,Full,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.8A, +5VSB@3A",8,,,EMR1350EWT,ATX12V / EPS12V,1350 W
221,,,80+ Bronze,,EVGA,,False,,2,,,100-BR-0600-K1,ATX,600 W
222,Black / Red,,,,Apevia,,False,,,,,ATX-RP450W,ATX,450 W
223,,94% Efficiency,80+ Titanium,,Thermaltake,,Full,"+3.3V@20A, +5V@20A, +12V@104A, -12V@0.3A, +5VSB@3.0A",4,,4,PS-TPG-1250DPCTUS-T,ATX,1250 W
224,,,80+ Gold,,Corsair,RM750x White,Full,"+3.3V@25A, +5V@25A, +12V@62.5A, -12V@0.8A, +5Vsb@3A",4,,,CP-9020155-NA / CP-9020155-UK / CP-9020155-EU / CP-9020155-AU / CP-9020155-CN / CP-9020155-JP / CP-9020155-KR / CP-9020155-WW / CP-9020155-TW,ATX,750 W
225,Black,89-94% @ 20-100% load,80+ Platinum,,Enermax,,Full,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.5A, +5VSB@3A",8,,,EPM1350EWT,ATX12V / EPS12V,1350 W
226,,with up to 92%,80+ Platinum,True,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@43A,-12@0.5A, +5Vsb@2.5A",2,,,SS-520FL2,ATX12V / EPS12V,520 W
227,,20% Load >87% / 50%Load >90% / 100%Load >87%,80+ Gold,,Inwin,,Semi,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.3A, +5VSB@3A",4,,,Commander III 600,ATX12V / EPS12V,600 W
228,White,,80+ Platinum,,SeaSonic,,Full,,4,,,SSR-650PD2-SNOWSILENT / PRIME Snow Silent 650,ATX,650 W
229,Black,,80+ Platinum,,Cooler Master,V1300 Platinum,Full,,12,,,MPZ-D001-AFBAPV-US,ATX,1300 W
230,,82-85%,80+ Bronze,,Silverstone,,False,,1,2,,ST45SF / SST-ST45SF,SFX12V,450 W
231,,,,,Athena Power,,False,,,,,AP-MPS3ATX30H,ATX12V,300 W
232,,> 80%,80+ Bronze,,Silverstone,,False,,,1,,ST30SF / SST-ST30SF,SFX12V,300 W
233,,> 90%,80+ Platinum,,be quiet!,,Semi,,6,1,,BN253 / BN653,ATX,850 W
234,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@30A, +5V@30A, +12V@62A, -12V@0.8A, +5VSB@3A",4,,,TX750M / CP-9020003-UK / CP-9020040-NA,ATX12V / EPS12V,750 W
235,,,80+ Bronze,,Fractal Design,,Semi,,,1,,FD-PSU-IN3B-450W,ATX,450 W
236,,> 87%,80+ Bronze,,SeaSonic,,Full,,1,1,,M12II 520 Bronze,ATX12V / EPS12V,520 W
237,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@35A,-12V@0.5A,+5VSB@2.5A",1,,,ARC 450,ATX12V / EPS12V,450 W
238,,,80+ Titanium,,SeaSonic,,Full,,6,,,SSR-850TR,ATX,850 W
239,,Up to 85% Efficiency,80+ Bronze,,EVGA,,False,"+3.3V@20A, +5V@20A, +12V@35A, +5Vsb@3A, -12V@0.3A",2,,,100-BV-0450-K1,ATX,450 W
240,,,80+,,Corsair,VS650,False,,2,,,CP-9020172-NA,ATX,650 W
241,,,80+ Platinum,,Corsair,HX1200 Platinum,Full,"+3.3V@30A, +5V@30A, +12V@100A, -12V@0.8A, +5HXB@3.5A",8,,,CP-9020140-NA / CP-9020140-WW / CP-9020140-UK / CP-9020140-EU / CP-9020140-AU / CP-9020140-CN / CP-9020140-JP / CP-9020140-KR,ATX,1200 W
242,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Full,,6,,,PS-TPG-0850MPCGUS-1,ATX12V / EPS12V,850 W
243,,Up to 90%,80+ Gold,,XFX,,False,,2,,,P1-550G-TS3X,ATX12V / EPS12V,550 W
244,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@43A,-12V@0.5A,+5VSB@2.5A",2,,,ARC 550,ATX12V / EPS12V,550 W
245,,,,,Rosewill,,False,"+3.3V@22A, +5V@15A, +12V1@14A, +12V2@16A, -12V@0.3A, +5VSB@2.5A",,1,,RD450-2-SB,ATX,450 W
246,,92%,80+ Platinum,,Corsair,HX750i,Full,"+3.3V@25A, +5V@25A, +12V@62.5A, -12V@0.8A, +5VSB@3A",6,,,CP-9020072 / CP-9020072-UK / CP-9020072-NA / CP-9020072-EU / CP-9020072-AU,ATX12V / EPS12V,750 W
247,,> 85%,80+ Bronze,True,FSP Group,,False,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.5A, +5VSB@2.5A",,2,,ZEN 400,ATX12V,400 W
248,,> 85%,80+ Bronze,,EVGA,,False,,2,,,100-B1-0450-K1,ATX,450 W
