,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
0,,,80+ Bronze,,SeaSonic,,False,"+3.3V@24A, +5V@24A, +12V1@46A, +12V2@46A, -12V@0.8A, +5VSB@2.5A",1,1,1,SS-600ET / SS-600ET BRONZE,ATX,600 W
1,,< 85%,80+ Bronze,,Corsair,,False,"+3.3V@25A, +5V@25A, +12V@58A, -12V@0.8A, +5VSB@3A",2,,,GS700,ATX12V,700 W
2,,,,,StarTech,,False,"+3.3V@22A, +5V@21A, +12V1@10A, +12V2@15A, -12V@0.8A, +5VSB@2.5A",,1,,ATX2POWER350,ATX12V,350 W
3,Black / White,,80+ Bronze,,Corsair,CX750M V2 (2017 Edition),Semi,,4,,,CP-9020154-NA,ATX,750 W
4,,> 80%,80+,,FSP Group,,False,,,,,FSP300-60GHS-R,SFX12V,300 W
5,,<90%,80+ Gold,,XFX,,Full,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.8A, +5VSB@3A",6,,,P1-850B-BEFX,ATX12V / EPS12V,850 W
6,,92% (115VAC) / 94% (220VAC~240VAC) or Higher Typical,80+ Platinum,,EVGA,SuperNOVA 750,Full,"+3.3V@20A, +5V@20A, +12V@62.4A, +5VSB@2.5A, -12V@0.5A",4,2,,220-P2-0750-X1,ATX12V / EPS12V,750 W
7,,,80+ Gold,,SeaSonic,FOCUS PLUS 850 Gold,Full,"+3.3V@20A, +5V@20A, +12V@70A, -12V@0.3A, +5Vsb@3A",6,,,SSR-850FX,ATX,850 W
8,,89% ~ 92% at 20% ~ 100% loading,80+ Platinum,,Silverstone,,Full,"+3.3V@22A, +5V@22A, +12V@58.4A, +5VSB@3.0A, -12V@0.3A",4,,,SX700-LPT / SST-SX700-LPT,SFX12V,700 W
9,,,80+ Bronze,,RIOTORO,ONYX 750,Semi,,4,,,PR-BP0750-SM,ATX,750 W
10,,Up to 90%,80+ Gold,,XFX,,Full,,2,,,P1-550B-BEFX,ATX12V / EPS12V,550 W
11,,82%~85% at 20% ~ 100% loading,80+ Bronze,,Silverstone,,Full,"+3.3V@20A, +5V@17A, +12V@46A, +5VSB@2.5A, -12V@0.3A",2,2,,ST60F-PB,ATX12V / EPS12V,600 W
12,,,80+ Bronze,,EVGA,,False,,4,,,100-BR-0700-K1,ATX,700 W
13,,up to 85%,80+ Bronze,,EVGA,SuperNOVA 750,Semi,"+3.3V@24A, +5V@24A, +12V@62A, +5Vsb@3.0A, -12V@0.5A",4,,,110-B2-0750-VR,ATX12V / EPS12V,750 W
14,Black,,80+ Bronze,,Cooler Master,,False,,2,,,MPX-4501-ACAAB-US / MPX-4501-ACAAB-AU / MPX-4501-ACAAB-EU / MPX-4501-ACAAB-UK / MPX-4501-ACAAB-JP / MPX-4501-ACAAB-KR,ATX,450 W
15,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Semi,,6,,,PS-TPD-0850MPCGUS-1,ATX12V / EPS12V,850 W
16,,85% efficiency or higher under typical loads,80+ Bronze,,EVGA,,Semi,"+3.3V@24A, +5V@20A, +12V@62A, +5Vsb@3A, -12V@0.3A",3,,,110-BQ-0750-V1,ATX,750 W
17,,> 85%,80+ Bronze,,FirePower,,Full,"+3.3V@24A, +5V@24A, +12V@45A, -12V@0.5A, +5VSB@3A",2,,,OCZ-ZT550W,ATX12V,550 W
18,,,80+ Platinum,,EVGA,SuperNOVA 1600,Full,,9,5,,220-P2-1600-X1 / 220-P2-1600-X3 / 220-P2-1600-X4,ATX,1600 W
19,Black,,80+ Platinum,,Corsair,,Full,,2,,,CP-9020181-NA,SFX12V,450 W
20,,,80+ Gold,,Corsair,RM550x,Full,,2,,,CP-9020090-NA / RM550x / CP-9020090-UK / CP-9020090-EU / CP-9020090-AU / CP-9020177-AU,ATX,550 W
21,,,80+ Platinum,,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@70A, -12V@0.3A, +5VSB@3.0A",6,,,SSR-850PX,ATX,850 W
22,Black / Blue,up to 87.55%,80+ Bronze,,Raidmax,,Semi,"+3.3V@20A, +5V@20A, +12V@40A, -12V@0.3A ,5VSB@2.5A",2,,,RX-535AP-S,ATX12V / EPS12V,535 W
23,,,80+ Platinum,,PC Power & Cooling,,Full,,6,,,FPS1050-A5M00,ATX,1050 W
24,,,80+ Gold,,Thermaltake,,Full,"+3.3V@20A, +5V@20A, +12V@62A, -12V@0.8A, +5VSB@3.0A",4,,,PS-TPG-0750DPCGUS-R / TPG-750DH3FCG-R / TPG-0750D-R,ATX,750 W
25,,< 85%,,,Xion,,False,"+3.3@24A,+5V@32A,+12V1@18A,+12V2@16,+12V3@20A,+ 12V4@20A,-12V@0.5A,+5VSB@2.2A",2,,,XON-850P14F,ATX12V / EPS12V,850 W
26,,80% under typical load,80+,,Thermaltake,,False,"+3.3V@24A, +5V@17A, +12V@54A, -12V@0.5A, +5VSB@2.5A",2,,,PS-SPR-0700NHFAWU-1,ATX,700 W
27,,,80+ Gold,,RIOTORO,ENIGMA 850,Semi,,4,,,PR-GP0850-SM,ATX,850 W
28,,85% @ Typical Load,80+ Bronze,,Cooler Master,MasterWatt 550,Semi,"+3.3V@20A, +5V@20A, +12@45.8A, -12V@0.3A, +5VSB@3A",2,,,MPX-5501-AMAAB-US / MPX-5501-AMAAB-UK / MPX-5501-AMAAB-AU / MPX-5501-AMAAB-EU,ATX,550 W
29,,< 87%,80+ Bronze,,Antec,,Semi,"+5V@24A, +3.3V@24A, +12V@48A, -12V@0.8A, +5VSB@2.5A",2,,,HCG-620M / HCG-620M GB,ATX12V / EPS12V,620 W
30,,,80+ Platinum,,FSP Group,,False,,2,,,FSP500-50FSPT,Flex ATX,500 W
31,,,80+ Gold,,SeaSonic,,Semi,,2,,,SSR-550FM,ATX,550 W
32,,,,,Apevia,,False,,1,,,ATX-BT550W,ATX,550 W
33,,87-92%,80+ Gold,,Rosewill,,Semi,"+3.3V@24A,+5V@24A,+12V@62A,-12V@0.5A,+5VSB@3A",4,,,CAPSTONE-750-M,ATX12V / EPS12V,750 W
34,,,80+ Gold,,Silverstone,,Full,,2,,,SST-SX500-LG / SX500-LG,SFX12V,500 W
35,,,80+,,Corsair,VS550,False,,2,,,CP-9020171-NA,ATX,550 W
36,,< 80%,,,Raidmax,,Semi,"+3.3V@28A, +5V@34A, +12V1@20A, +12V2@17A, -12V@0.8A, +5VSB@2.5A",1,1,,RX-530SS,ATX12V / EPS12V,530 W
37,Black,,80+ Bronze,,Raidmax,,Semi,,4,,,RX-735AP-R,ATX,735 W
38,Black,,80+ Gold,,Cooler Master,MWE Gold 750,Full,,4,,,MPY-7501-AFAAG-US,ATX,750 W
39,,90% Efficiency,80+ Gold,,Thermaltake,,Semi,"+3.3V@22A, +5V@22A, +12V@62A, -12V@0.3A, +5VSB@2.5A",4,,,PS-SPG-0750DPCGUS-G,ATX12V / EPS12V,750 W
40,,,,,Athena Power,,False,"+3.3V@20A, +5V@30A, +12V@15A, -5V@0.5A, -12V@1A, +5VSB@2A",,,,AP-P4ATX35,ATX,350 W
41,,,80+ Gold,,EVGA,SuperNOVA 650,Full,,3,,,220-G3-0650 / 220-G3-0650-Y1,ATX,650 W
42,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@22A,+5V@22A,+12V@54.2A,-12V@0.3A,+5VSB@3A",4,,,PHOTON-650,ATX12V / EPS12V,650 W
43,Black,,80+ Gold,,Thermaltake,Toughpower Grand RGB 850 SE,Full,,6,,,PS-TPG-0850FPCGUS-S,ATX,850 W
44,,,80+ Bronze,,EVGA,,Semi,,2,,,110-BQ-0600-K1,ATX,600 W
45,,82-88% efficiency @ 20-100% load,80+ Bronze,,Thermaltake,,False,,2,,,PS-TR2-0500NPCBUS-B,ATX12V / EPS12V,500 W
46,Black,94% efficiency at 50% system load,80+ Titanium,True,SeaSonic,PRIME 600 Titanium,Full,"+3.3V@20A, +5V@20A, +12V@50A, -12V@0.3A, +5VSB@2.5A",4,,,SSR-600TL,ATX,600 W
47,,87-92%,80+ Gold,,Thermaltake,,Full,,4,,,PS-TPG-0750DPCGUS-1,ATX12V / EPS12V,750 W
48,,,80+ Gold,,EVGA,210-GQ-0750-V1,Semi,,6,,,210-GQ-0750 / 210-GQ-0750-V1,ATX,750 W
49,Black,,80+ Gold,,Rosewill,,Semi,,6,,,CAPSTONE 1000M-2,ATX,1000 W
50,,87%,80+ Gold,,SeaSonic,,False,"+3.3V@10A, +5V@14A, +12V@25A, -12V@0.3A, +5VSB@2A",,,,SSP-300SUG,Flex ATX,300 W
51,Black / Multicolor,,80+,,GAMDIAS,,False,,2,,,ASTRAPE M1-550W / M1-550W,ATX,550 W
52,,90% Typical,80+ Gold,,EVGA,SuperNOVA 650,Full,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, +5Vsb@3A, -12V@0.8A",4,,,120-G1-0650-XR,ATX12V / EPS12V,650 W
53,,,80+ Gold,,Raidmax,,Semi,,6,,,RX-1000AE-B,ATX,1000 W
54,Black / Red,,80+ Gold,,SeaSonic,,Full,,6,,,SSR-850GD-AIRTOUCH,ATX,850 W
55,,up to 88%,80+ Bronze,,Thermaltake,,Semi,"+3.3V@24A, +5V@24V, +12V@52A, -12V@0.5A, +5VSB@3A",4,,,SP-650MPCBUS,ATX12V,650 W
56,,85%,80+ Bronze,,CoolMax,,Semi,"+5V@25A, +3.3V@25A, +12V@50A, -12V@0.8A, +5VSB@3A",1,1,,ZU-600B,ATX12V / EPS12V,600 W
57,,,80+ Platinum,,SeaSonic,,Full,,4,,,SSR-750PD,ATX,750 W
58,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Semi,,4,,,PS-TPD-0750MPCGUS-1,ATX12V / EPS12V,750 W
59,,94% Efficiency,80+ Titanium,,Thermaltake,,Full,"+3.3V@25A, +5V@22A, +12V@125A, -12V@0.3A, +5VSB@3.0A",5,,5,PS-TPG-1500DPCTUS-T / TPG-1500DH5FET / TPG-1500D-T,ATX,1500 W
60,,< 85%,80+ Bronze,,EVGA,600B,False,"+5V@20A, +3.3V@24A, +12V@49A, -12V@0.3A, +5VSB@3A",2,,,100-B1-0600-KR,ATX12V / EPS12V,600 W
61,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A, +5VSB@3A",4,,,CX750M / CP-9020061-UK / CMPSU-750CXM / CP-9020061-AU / CP-9020061-NA / CP-9020061-EU,ATX,750 W
62,,< 85%,80+ Bronze,,XFX,,False,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.5A, +5VSB@3.0A",2,2,,P1850SNLB9,ATX12V / EPS12V,850 W
63,Black,,80+ Gold,,Silverstone,,Semi,,2,,,SST-ET550-HG,ATX,550 W
64,,80%,80+,,FSP Group,,False,"+3.3V@14A, +5V@16A, +12V1@16A, +12V2@10A, -12V@0.8A, +5VSB@2.5A",,,,FSP220-60LE(80),Mini ITX,220 W
65,,,,,EVGA,,False,,2,,,100-N1-0650-L1,ATX,650 W
66,,> 85%,80+ Bronze,,OCZ,,Full,"+3.3V@24A, +5V@24A, +12V@45A, -12V@0.5A, +5VSB@3A",2,,,OCZ-ZT550W,ATX12V,550 W
67,Black,,80+ Gold,,Rosewill,,Full,,10,,,PHOTON 1350,ATX,1350 W
68,,92% Typical,80+ Platinum,,EVGA,SuperNOVA 1200,Full,"+3.3V@20A, +5V@20A, +12V@99.5A, +5VSB@2.5A, -12V@0.5A",6,2,,220-P2-1200-X1 / 220-P2-1200-X4 / 220-P2-1200-X3,ATX12V / EPS12V,1200 W
69,,"> 90%, Up to 92%",80+ Gold,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@58A,-12V@0.5A,+5VSB@2.5A",4,,,VALENS-700,ATX12V / EPS12V,700 W
70,Black / Gray,,80+ Bronze,,Cooler Master,,Semi,,2,,,MPX-5501-AMAAB-SF,ATX,550 W
71,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@25A, +5V@25A, +12V@46A, -12V@0.8A, +5VSB@3A",2,,,CX600M / CP-9020060-NA / CP-9020060-UK / CMPSU-600CXM / CP-9020060-AU,ATX12V,600 W
72,Black,,80+ Bronze,,Cougar,,False,,4,,,VTX500,ATX,500 W
73,,92%,80+ Gold,,BitFenix,,Full,,6,,,BP-WG750UMAG-7FM / BP-WG750UMAG-0FM / BP-WG750UMAG-6FM / BP-WG750UMAG-8FM / BP-WG750UMAG-9FM,ATX12V,750 W
74,,> 90%,80+ Platinum,,Rosewill,,Full,"+3.3V@25A,+5V@22A,+12V@70A,-12V@0.3A,+5VSB@2.5A",6,,,Quark 850,ATX12V / EPS12V,850 W
75,Black,,80+ Gold,,Rosewill,,Semi,,2,,,LEPTON 500,ATX,500 W
76,Black,,80+ Gold,,SeaSonic,,Full,,4,,,SSR-650SGX,SFX12V,650 W
77,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@48.75A,-12V@0.3A,+5VSB@2.5A",4,,,Hive-650S,ATX12V / EPS12V,650 W
78,,< 80%,80+,,CoolMax,,False,"+5V@25A, +3.3V@25A, +12V@40A, -12V@0.8A, +5VSB@3A",1,1,,ZX-600,ATX12V / EPS12V,600 W
79,,Up to 88%,80+ Bronze,,Antec,,False,"+3.3V@20A, +5V@18A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@2.5A",2,,,EA550 Green,ATX12V / EPS12V,550 W
80,,,80+ Bronze,,Antec,,False,"+3.3V@20A, +5V@20A, +12V1@17A, +12V2@15A, -12V@0.8A, +5VSB@2.5A",,1,,EA-380D Green / EA 380D,ATX12V / EPS12V,380 W
81,,> 89%,80+ Platinum,True,Rosewill,,Semi,"+3.3V@20A, +5V@20A, +12V@41.5A, -12V@0.5A, +5VSB@2.5A",4,,,SilentNight-500,ATX12V / EPS12V,500 W
82,,< 85%,80+ Bronze,,EVGA,500B,False,,2,,,100-B1-0500-KR,ATX12V / EPS12V,500 W
83,,,80+,,Antec,,False,,2,,,VP500 Plus,ATX,500 W
84,,,,,Solid Gear,,False,,1,,,SDGR-650E,ATX,650 W
85,Black,,80+ Bronze,,Antec,,Full,,4,,,HCG850 Bronze,ATX,850 W
86,,94% (115VAC) / 96% (220VAC~240VAC) or Higher Typical,80+ Titanium,,EVGA,SuperNOVA 850,Full,"+3.3V@20A, +5V@20A, +12V@70.8A, +5VSB@2.5A, -12V@0.5A",4,2,,220-T2-0850-X1,ATX,850 W
87,,> 80%,80+ Bronze,,NZXT,,Semi,"+3.3V@23A, +5V@25A, +12V@53A, -12V@0.5A, +5VSB@3.0A",2,2,,HALE82-650-M,ATX12V / EPS12V,650 W
88,,,,,CoolMax,,False,"+3.3V@30A, +5V@45A, +12V1@18A, +12V2@16A, -12V@1A, +5VSB@2.5A",,,,V-500,ATX,500 W
89,,90% (115VAC) / 92% (220VAC~240VAC) or Higher Typical,80+ Gold,,EVGA,SuperNOVA 650,Full,"+3.3V@24A, +5V@22A, +12V@54.1A, +5VSB@3.0A, -12V@0.5A",2,2,,220-G2-0650-Y1 / 220-G2-0650-Y3,ATX,650 W
90,,,80+ Platinum,,FSP Group,,Full,25A @ +3.3V DC<br/>25A @ +5V DC<br/>100A @ +12V DC<br/>0.8A @ -12V DC<br/>3.0A @ +5Vsb DC Standby,8,,,PT1200FM,ATX12V / EPS12V,1200 W
91,Black,,80+ Gold,,be quiet!,,False,,2,,,BN901 / BN626,ATX,500 W
92,,,80+ Gold,,Rosewill,,Semi,,2,,,LEPTON 700,ATX,700 W
93,,< 85%,,,Raidmax,,Semi,"+3.3V@25A, +5V@25A, +12V1@24A, +12V2@24A,, -12V@0.5A, +5VSB@2.0A",2,,,RX-730SS,ATX12V / EPS12V,730 W
94,,,80+ Gold,,SeaSonic,,Semi,,4,,,SSR-650RM,ATX12V / EPS12V,650 W
95,Black / Blue,,80+ Gold,,Silverstone,,Semi,,4,,,SST-ET650-HG,ATX,650 W
96,,,80+ Gold,,Thermaltake,,Full,,2,,,PS-TPG-0450DPCGUS-G,ATX12V / EPS12V,450 W
97,,,,,HEC,,False,,,1,,HP585D RETAIL,ATX12V,585 W
98,Black,,80+ Gold,,G.Skill,PS850G,Full,,6,,,GP-GD850A-CWV1,ATX,850 W
99,,,80+ Gold,,be quiet!,Straight Power 11 1000W,Full,,6,,,BN285 / BN621,ATX,1000 W
100,,,80+ Platinum,,Enermax,,Full,"+3.3V@20A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.5A, +5VSB@2.5A",4,,,EDF550AWN,ATX12V / EPS12V,550 W
101,,< 80%,,,VisionTek,,False,"+3.3V@20A, +5V@20A, +12V1@20A, +12V2@20A, -12V@0.3A, +5VSB@2.5A",,2,,900346,ATX12V,500 W
102,Black,,80+ Bronze,,SeaSonic,,False,,2,,,SSR-550GB3,ATX,550 W
103,,,80+ Gold,,FSP Group,,Full,,4,,,HGE650,ATX,650 W
104,,< 88%,80+ Bronze,,Thermaltake,,Semi,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A",4,,,SP-750M,ATX12V / EPS12V,750 W
105,,90%,80+ Gold,,Corsair,HX750,Semi,"+3.3V@25A, +5V25A, +12V@60A, -12V@0.8A, +5VSB@3A",4,,,CMPSU-750HX / CMPSU-750HXUK,ATX12V / EPS12V,750 W
106,,,80+ Gold,,Corsair,RM1000x,Full,,8,,,CP-9020094-NA / rm1000x / CP-9020094-UK,ATX,1000 W
