,CAS Latency,Color,ECC,Heat Spreader,Manufacturer,Model,Part Number,Price/GB,Registered,Size,Speed,Timing,Type,Voltage
340,15,Black / Silver,False,True,Corsair,,CMD64GX4M4C3200C16,$7.50,False,64 GB (4 x 16 GB),DDR4-3200,15-15-15-36,288-pin DIMM,1.35 V
341,15,Black,False,True,G.Skill,,F4-2400C15D-16GFX,$5.05,False,16 GB (2 x 8 GB),DDR4-2400,15-15-15-39,288-pin DIMM,1.2 V
342,11,Black / Red,False,True,G.Skill,,F3-2400C11Q-32GSR,$5.16,False,32 GB (4 x 8 GB),DDR3-2400,,240-pin DIMM,1.65 V
343,17,Black / White,False,True,Kingston,,HX429C17FBK4/64,$6.74,False,64 GB (4 x 16 GB),DDR4-2933,,288-pin DIMM,1.2 V
344,16,White,False,True,GeIL,,GLWS416GB3000C16ADC,$5.69,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-36,288-pin DIMM,1.35 V
345,18,Silver,False,True,G.Skill,,F4-4600C18D-16GTRS,$27.50,False,16 GB (2 x 8 GB),DDR4-4600,18-22-22-42,288-pin DIMM,1.45 V
346,16,Black,False,True,Patriot,,PVS416G320C6K,$6.06,False,16 GB (2 x 8 GB),DDR4-3200,,288-pin DIMM,1.35 V
347,15,Black / Gray,False,True,Team,,TLGD416G2666HC15BDC01,$5.06,False,16 GB (2 x 8 GB),DDR4-2666,15-17-17-35,288-pin DIMM,1.2 V
348,10,Red / Silver,False,True,Kingston,,HX318C10FRK2/16,$6.00,False,16 GB (2 x 8 GB),DDR3-1866,,240-pin DIMM,1.5 V
349,19,Black / Yellow,False,True,Corsair,,CMK16GX4M2K4700C19,$37.89,False,16 GB (2 x 8 GB),DDR4-4700,19-26-26-46,288-pin DIMM,1.5 V
350,15,Blue,False,True,G.Skill,,F4-2400C15D-16GVB,$5.05,False,16 GB (2 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
351,17,Silver / Black,False,True,Crucial,,BLS2K16G4D30CEST,$5.75,False,32 GB (2 x 16 GB),DDR4-3000,17-19-19-38,288-pin DIMM,1.35 V
352,9,Blue / Silver,False,True,Kingston,,KHX1600C9D3K4/16GX,$18.17,False,16 GB (4 x 4 GB),DDR3-1600,,240-pin DIMM,1.65 V
353,15,Black,False,True,G.Skill,,F4-3000C15Q-32GTZR,$7.68,False,32 GB (4 x 8 GB),DDR4-3000,15-16-16-35,288-pin DIMM,1.35 V
354,19,Black / Yellow,False,True,Corsair,,CMK64GX4M8X4266C19,$16.54,False,64 GB (8 x 8 GB),DDR4-4266,19-26-26-46,288-pin DIMM,1.45 V
355,16,Silver / Gray,False,True,Crucial,,BLS2K16G4D240FSB,$5.13,False,32 GB (2 x 16 GB),DDR4-2400,,288-pin DIMM,1.2 V
356,15,Black,False,True,Corsair,,CMW32GX4M4C3000C15,$6.87,False,32 GB (4 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
357,16,Red,False,True,G.Skill,,F4-2800C16D-16GRR,$6.00,False,16 GB (2 x 8 GB),DDR4-2800,,288-pin DIMM,1.2 V
358,9,Black / Green,False,False,Kingston,,KVR13N9S6/2,$7.00,False,2 GB (1 x 2 GB),DDR3-1333,,240-pin DIMM,1.5 V
359,14,Red,False,True,Corsair,,CMK16GX4M2A2400C14R,$5.12,False,16 GB (2 x 8 GB),DDR4-2400,14-16-16-31,288-pin DIMM,1.2 V
360,16,White,False,True,Corsair,,CMK64GX4M4A2666C16W,$4.92,False,64 GB (4 x 16 GB),DDR4-2666,16-18-18-35,288-pin DIMM,1.2 V
361,16,Black,False,True,ADATA,,AX4U300038G16-DT41,$6.06,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
362,16,Black,False,True,Corsair,,CMR16GX4M2D3000C16,$6.69,False,16 GB (2 x 8 GB),DDR4-3000,16-20-20-38,288-pin DIMM,1.35 V
363,16,Red,False,True,Corsair,,CMK8GX4M1A2400C16R,$5.00,False,8 GB (1 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
364,18,Silver,False,True,G.Skill,,F4-4400C18D-16GTRS,$21.31,False,16 GB (2 x 8 GB),DDR4-4400,18-19-19-39,288-pin DIMM,1.4 V
365,16,Black / Camo,False,True,G.Skill,,F4-3000C16D-32GSXFB,$4.94,False,32 GB (2 x 16 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
366,16,Black / Yellow,False,True,Corsair,,CMK16GX4M2Z3466C16,$8.87,False,16 GB (2 x 8 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
367,15,Red,False,True,G.Skill,,F4-3200C15D-16GVR,$8.19,False,16 GB (2 x 8 GB),DDR4-3200,,288-pin DIMM,1.35 V
368,11,Black / Green,False,False,Corsair,,CMV4GX3M1C1600C11,$6.25,False,4 GB (1 x 4 GB),DDR3-1600,,240-pin DIMM,1.35 V
369,16,Black / Camo,False,True,G.Skill,,F4-3000C16D-16GSXFB,$5.37,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
370,9,Green,False,False,Patriot,,PSD34G13332,$4.75,False,4 GB (1 x 4 GB),DDR3-1333,,240-pin DIMM,1.8 V
371,16,Black / Yellow,False,True,Corsair,,CMK16GX4M2A2400C16,$4.81,False,16 GB (2 x 8 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
372,16,White,False,True,Corsair,,CMW32GX4M2C3466C16W,$9.37,False,32 GB (2 x 16 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
373,10,Red / Silver,False,True,Kingston,,HX318C10FR/4,$6.75,False,4 GB (1 x 4 GB),DDR3-1866,,240-pin DIMM,1.5 V
374,16,Black,False,True,G.Skill,,F4-3466C16Q-32GTZR,$10.50,False,32 GB (4 x 8 GB),DDR4-3466,16-18-18-38,288-pin DIMM,1.35 V
375,18,Black / Silver,False,True,Corsair,,CMD16GX4M2B3600C18,$15.62,False,16 GB (4 x 4 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
376,15,Black / Silver,False,True,Corsair,,CMD8GX4M2B3000C15,$17.50,False,8 GB (2 x 4 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
377,16,Red / White,False,True,ADATA,,AX4U300038G16-DRG,$5.00,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
378,15,Black / Silver,False,True,Corsair,,CMD16GX4M2B3000C15,$8.12,False,16 GB (2 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
379,16,Silver,False,True,G.Skill,,F4-3200C16Q-32GTRS,$9.09,False,32 GB (4 x 8 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
380,13,Black,False,True,Kingston,,HX426C13PB3/16,$6.50,False,16 GB (1 x 16 GB),DDR4-2666,,288-pin DIMM,1.35 V
381,18,Black / Yellow,False,True,Corsair,,CMK32GX4M4B3600C18,$10.31,False,32 GB (4 x 8 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
382,15,Red,False,True,Corsair,,CMK4GX4M1A2400C14R,$7.50,False,4 GB (1 x 4 GB),DDR4-2400,15-15-15-36,288-pin DIMM,1.2 V
383,16,Black / Red,False,True,G.Skill,,F4-3000C16D-16GISB,$5.06,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
384,16,Red,False,True,G.Skill,,F4-3200C16Q-32GVRB,$5.81,False,32 GB (4 x 8 GB),DDR4-3200,,288-pin DIMM,1.35 V
385,16,Black / Gray,False,True,Team,,TLGD416G3000HC16CDC01,$4.87,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
386,11,,False,True,G.Skill,,F3-2400C11D-8GXM,$5.75,False,8 GB (2 x 4 GB),DDR3-2400,,240-pin DIMM,1.65 V
387,15,Red,False,True,G.Skill,,F4-2400C15D-16GRR,$5.06,False,16 GB (2 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
388,10,Black / Blue,False,True,G.Skill,,F3-2133C10D-8GXM,$5.75,False,8 GB (2 x 4 GB),DDR3-2133,,240-pin DIMM,1.6 V
389,19,Black / White,False,True,G.Skill,,F4-4133C19D-16GTZKW,$11.94,False,16 GB (2 x 8 GB),DDR4-4133,19-21-21-41,288-pin DIMM,1.35 V
390,16,Black / White,False,True,Corsair,,CMU16GX4M2A2400C16,$10.62,False,16 GB (2 x 8 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
