,CPU Socket,Chipset,Color,CrossFire Support,Form Factor,Half Mini-PCI-Express,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,Part Number,RAID Support,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s
330,AM4,AMD X470,Black / Silver,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"X470 GAMING PRO CARBON, (or)",True,,8,,True,,,,
331,AM4,AMD B350,Black / White,True,Micro ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,AB350M Pro4,True,,4,,False,,,,
332,LGA1151,Intel C236,Green,False,Micro ATX,,Supermicro,64 GB,4 x 288-pin DIMM,DDR4-1600 / 1866 / 2133,,,,,2 x 1000 Mbit/s,True,True,,MBD-X11SSM-F-O / X11SSM-F-O,True,,8,,False,,,,
333,AM4,AMD B450,Black / White,False,Micro ATX,,ASRock,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B450M-HDV R4.0,True,,4,,False,,,,
334,TR4,AMD X399,Black / Silver,True,ATX,,MSI,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200 / 3333 / 3466 / 3600,,,,,1 x 1000 Mbit/s,True,False,,"X399 GAMING PRO CARBON AC, (or)",True,,8,,4-way SLI,,,,
335,LGA1151,Intel Z370,Black / Red,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Z370 GAMING PLUS,True,,6,,False,,,,
336,AM4,AMD X470,Black / Orange,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3000 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,X470 AORUS GAMING 5 WIFI / GA-X470-AORUS-GAMING-5-WIFI,True,,6,,True,,,,
337,AM4,AMD B350,Black / Red,False,Micro ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"B350M MORTAR, (or)",True,,4,,False,,,,
338,LGA2011-3,Intel X99,Black / Red,True,EATX,,Asus,64 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000,,,,,1 x 1000 Mbit/s,True,False,,RAMPAGE V EXTREME/U3 / RAMPAGE V EXTREME/U3.1 / 90MB0JG1-M0EAY0,True,,8,2,4-way SLI,,,,
339,2 x LGA2011-3,Intel C612,Black / Gold,True,SSI EEB,,Asus,512 GB,8 x 288-pin DIMM,DDR4-1600 / 1866 / 2133,,,,,2 x 1000 Mbit/s,True,True,,Z10PE-D8 WS / 90SB0460-M0EAY0,True,,8,2,4-way SLI,,,,
340,LGA1151,Intel H310,Brown / Black,False,ATX,,MSI,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"H310-A PRO, (or)",False,,4,,False,,,,
341,AM4,AMD B450,Black,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200,,,,ROG STRIX B450-F GAMING,,True,Depends on CPU,,STRIX B450-F GAMING / ROG STRIX B450-F GAMING / 90MB0YS0-M0EAY0,True,,6,,False,,,,
342,TR4,AMD X399,Black / Silver,True,EATX,,MSI,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 2933 / 3200 / 3333 / 3466 / 3600,,,,,2 x 1000 Mbit/s,True,False,,MEG X399 CREATION / X399CREATION,True,,8,,3-way SLI,,,,
343,LGA1151,Intel H110,Black / Gold,False,Micro ATX,,Asus,32 GB,2 x 288-pin DIMM,DDR4-2133,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,H110M-E/M.2,False,,4,,False,,,,
344,AM4,AMD B450,Black / Red,False,Mini ITX,,MSI,32 GB,2 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B450I GAMING PLUS AC,True,,4,,False,,,,
345,AM4,AMD B350,Black / Red,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,GA-AB350-GAMING 3 / AB350-GAMING 3,True,,6,,False,,,,
346,LGA1151,Intel Z370,Black,True,ATX,,NZXT,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,N7-Z37XT-B1,True,,4,,True,,,,
347,AM4,AMD B350,Black / Red,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B350 TOMAHAWK,True,,4,,False,,,,
348,LGA1151,Intel Z390,Brown / Black,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133 / 4200 / 4266 / 4400,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Z390-A PRO,True,,6,,False,,,,
349,AM4,AMD X470,Black,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200,,,,TUF X470-PLUS GAMING,1 x 1000 Mbit/s,True,Depends on CPU,,X470-PLUS GAMING / TUF X470-PLUS GAMING / 90MB0XL0-M0EAY0,True,,6,,False,,,,
350,LGA1155,Intel H61,Green / Blue,False,Micro ATX,,Intel,8 GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,DH61CRB3,1 x 1000 Mbit/s,False,Depends on CPU,,BOXDH61CRB3,False,4,,,False,,,,
351,LGA1151,Intel Z370,Black / White,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"Z370 PC PRO, (or)",True,,6,,False,,,,
352,LGA1150,Intel C222,Black / Green,False,Micro ATX,,Supermicro,32 GB,4 x 240-pin DIMM,DDR3-1600,,,,,2 x 1000 Mbit/s,True,True,,X10SLL-F / MBD-X10SLL-F-O / X10SLL-F-O,True,2,4,,False,,,,
