,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
84,1.56 GHz,GeForce RTX 2080 Ti,Black / White,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Asus,11 GB,GDDR6,,,,DUAL-RTX2080TI-A11G,,True,,True,250 W,,,1
85,1.77 GHz,TITAN RTX,Gold / Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"266.7 mm / 10.5""",NVIDIA,24 GB,GDDR6,,,TITAN RTX,900-1G150-2500-000 SB,,True,,True,280 W,,,1
86,1.695 GHz,GeForce RTX 2080 Ti,Black,1.545 GHz,False,,,,3,True,3,PCI-Express x16,"290 mm / 11.417""",Gigabyte,11 GB,GDDR6,,,,GV-N208TAORUS-11GC,,True,,True,250 W,,,
87,1.71 GHz,GeForce RTX 2080,Black / Silver,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Zotac,8 GB,GDDR6,,,,ZT-T20800J-10P,,True,,True,215 W,,,1
88,,Quadro 6000,Black / Silver,,False,,,1,2,True,,PCI-Express x16,,PNY,6 GB,GDDR5,,,,VCQ6000-PB,,False,,,204 W,,,
89,1.75 GHz,Radeon VII,Silver,1.4 GHz,False,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",PowerColor,16 GB,HBM2,,,,AXVII 16GBHBM2-3DH,,False,True,,295 W,,,
90,,Radeon RX 560 - 896,Black / Silver,1.176 GHz,True,1,,,1,True,1,PCI-Express x16,"170 mm / 6.693""",ASRock,4 GB,GDDR5,,,,RX560 4G,,False,True,,75 W,,,
91,1.317 GHz,GeForce GTX 970,Black / Blue,1.165 GHz,False,1,,1,1,True,1,PCI-Express x16,"241 mm / 9.488""",EVGA,4 GB,GDDR5,,,,04G-P4-2974-KR,,3-way SLI,,True,145 W,,,
92,1.275 GHz,Radeon RX 560 - 1024,Black / White,1.196 GHz,True,1,,,1,True,1,PCI-Express x16,"155 mm / 6.102""",MSI,4 GB,GDDR5,,,,RX 560 AERO ITX 4G OC,,False,True,,90 W,,,
93,1.815 GHz,GeForce RTX 2070,Black / Silver,1.62 GHz,False,,,,3,True,3,PCI-Express x16,"290 mm / 11.417""",Gigabyte,8 GB,GDDR6,,,,GV-N2070AORUS X-8GC,,False,,True,185 W,,,
94,1.797 GHz,GeForce GTX 1070,Black / Red,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"292 mm / 11.496""",PNY,8 GB,GDDR5,,,,VCGGTX10708XGPB-OC,,True,,True,150 W,,,
95,1.25 GHz,Radeon RX 570,Black / Red,1.168 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"255 mm / 10.039""",PowerColor,4 GB,GDDR5,,,,AXRX 570 4GB RED DRAGON,,False,True,,150 W,,,
96,,Radeon R9 290X,Black / Blue,1.03 GHz,4-way CrossFire,2,,,1,True,1,PCI-Express x16,"298 mm / 11.732""",Sapphire,8 GB,GDDR5,,,,100361-8GVXSR / 11226-11-40G,,False,,,300 W,,,
97,1.506 GHz,GeForce GTX 1050 Ti,Black,1.366 GHz,False,1,,,1,True,3,PCI-Express x16,"219 mm / 8.622""",Gigabyte,4 GB,GDDR5,,,,GV-N105TG1 GAMING-4GD,,False,,True,75 W,,,
98,1.366 GHz,Radeon RX 580,Black,1.257 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"230 mm / 9.055""",Sapphire,4 GB,GDDR5,,,,11265-09-20G / 100411P4GOCL,,False,True,,225 W,,,
