,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
335,64 MB,500 GB,,"3.5""",8.20,,SATA 6 Gb/s,Western Digital,,,WD5000AZRX,,$0.122,5400,
336,64 MB,1 TB,,"3.5""",23.82,,SATA 6 Gb/s,Western Digital,,,WD10EZRZ,,$0.042,5400,
337,64 MB,2 TB,,"3.5""",15.00,,SATA 6 Gb/s,Toshiba,,,HDWD120XZSTA,,$0.067,7200,
338,32 MB,500 GB,,"2.5""",13.46,,SATA 6 Gb/s,Seagate,,,ST500LM021,,$0.074,7200,
339,,1 TB,,"2.5""",8.33,,SATA 6 Gb/s,SanDisk,,,SDSSDH3-1T00-G25,,$0.120,,
340,64 MB,1 TB,,"3.5""",20.37,,SATA 3 Gb/s,Western Digital,,,WD10EAVS,,$0.049,5400,
341,32 MB,1 TB,,"3.5""",18.30,,SATA 6 Gb/s,Western Digital,,,WD10EALX,,$0.055,7200,
342,,250 GB,Black,M.2-2280,5.93,,M.2 (M),HP,,,2YY43AA#ABC,,$0.169,,
343,64 MB,1 TB,,"3.5""",25.01,,SATA 6 Gb/s,Seagate,,,ST1000DM003,,$0.040,7200,
344,,240 GB,,"2.5""",8.00,,SATA 6 Gb/s,Patriot,,,PBU240GS25SSDR,,$0.125,,
345,,256 GB,,M.2-2280,4.27,,M.2 (M),Samsung,,,MZVLW256HEHP-00000,,$0.234,,
346,,525 GB,,"2.5""",4.07,,SATA 6 Gb/s,Crucial,,,CT525MX300SSD1,,$0.246,,
347,64 MB,2 TB,,"3.5""",19.06,,SATA 6 Gb/s,Western Digital,,,WDBSLA0020HNC-NRSN,,$0.052,7200,
348,256 MB,14 TB,,"3.5""",25.46,,SATA 6 Gb/s,Seagate,,,ST14000DM001,,$0.039,7200,
349,256 MB,8 TB,,"3.5""",26.54,,SATA 6 Gb/s,Seagate,,,ST8000VN0002,,$0.038,7200,
350,,480 GB,,"2.5""",8.01,,SATA 6 Gb/s,SanDisk,,,SDSSDA-480G-G26,,$0.125,,
351,,120 GB,,"2.5""",1.86,,SATA 6 Gb/s,ADATA,,,ASP550SS3-120GM-C,,$0.539,,
352,,256 GB,Blue,M.2-2280,6.40,,M.2 (B+M),Patriot,,,PS256GPM280SSDR,,$0.156,,
353,256 MB,128 GB,Silver,"2.5""",4.27,,SATA 6 Gb/s,Plextor,,,PX-128M8VC,,$0.234,,
354,256 MB,14 TB,,"3.5""",26.42,,SATA 6 Gb/s,Seagate,,,ST14000NE0008,,$0.038,7200,
355,,120 GB,Blue / Black,M.2-2280,3.91,,M.2 (B+M),Kingston,,,SA400M8/120G,,$0.256,,
356,64 MB,2 TB,,"3.5""",37.82,,SATA 6 Gb/s,Hitachi,,,HUA723020ALA640,,$0.026,7200,
357,64 MB,3 TB,,"3.5""",17.77,,SATA 6 Gb/s,Western Digital,,,WD30EZRX,,$0.056,5400,
358,,1 TB,,M.2-2280,5.88,,M.2 (M),Plextor,,,PX-1TM9PeG,,$0.170,,
359,1 GB,1 TB,Black,M.2-2280,3.79,,M.2 (M),Samsung,,,MZ-V7E1T0BW / MZ-V7E1T0B/AM,,$0.264,,
360,64 MB,1 TB,,"3.5""",16.70,,SATA 6 Gb/s,Seagate,,,ST1000VN002,,$0.060,5900,
361,,800 GB,,"2.5""",2.11,,PCI-Express x4,Intel,,MLC,SSDPE2MD800G401,,$0.475,,
362,,120 GB,,"2.5""",1.37,,SATA 6 Gb/s,Samsung,,MLC (toggle),MZ7WD120HCFV-00003,True,$0.730,,Samsung MDX
363,128 MB,3 TB,,"2.5""",23.08,,SATA 6 Gb/s,Seagate,,,ST3000LM024,,$0.043,5400,
364,1 GB,1 TB,Black,"2.5""",6.67,,SATA 6 Gb/s,Samsung,,,MZ-76E1T0B/AM / MZ-76E1T0B/EU,,$0.150,,
365,256 MB,8 TB,,"3.5""",34.80,,SATA 6 Gb/s,Seagate,,,ST8000VN0022,,$0.029,7200,
366,8 MB,320 GB,,"2.5""",15.33,,SATA 3 Gb/s,Toshiba,,,MQ01ABD032,,$0.065,5400,
367,32 MB,1 TB,,"3.5""",18.36,,SATA 6 Gb/s,Toshiba,,,DT01ACA100,,$0.054,7200,
