,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
0,256 MB,8 TB,,"3.5""",25.32,,SATA 6 Gb/s,Western Digital,,,WD8003FRYZ,,$0.039,7200,
1,,1 TB,,M.2-2280,7.14,,M.2 (M),Silicon Power,,,SP001TBP34A80M28,,$0.140,,
2,,120 GB,,"2.5""",4.01,,SATA 6 Gb/s,Team,,,T253L7120GTC101,,$0.249,,
3,,480 GB,,"2.5""",8.00,,SATA 6 Gb/s,Kingston,,,SA400S37/480G,,$0.125,,
4,,250 GB,Black,"2.5""",5.21,,SATA 6 Gb/s,Team,,,T253TR250G3C313,,$0.192,,
5,64 MB,6 TB,,"3.5""",31.60,,SATA 6 Gb/s,Western Digital,,,WD60EFRX,,$0.032,5400,
6,,525 GB,,M.2-2280,3.75,,M.2 (B+M),Crucial,,TLC (toggle),CT525MX300SSD4,,$0.266,,
7,,256 GB,,M.2-2280,2.13,,M.2 (M),Sabrent,,,SB-ROCKET-256,,$0.469,,
8,64 MB,2 TB,,"3.5""",10.67,,SATA 6 Gb/s,Seagate,,,ST2000VN000,,$0.094,5900,
9,,1.6 TB,Black,PCI-E,1.09,,PCI-Express x4,Corsair,,,CSSD-N1600GBNX500,,$0.916,,
10,,480 GB,,"2.5""",6.01,,SATA 6 Gb/s,SanDisk,,,SDSSDA-480G-G25,,$0.166,,
11,16 MB,250 GB,,"2.5""",9.26,,SATA 3 Gb/s,Western Digital,,,WD2500BEKT,,$0.108,7200,
12,,240 GB,,M.2-2280,3.03,,M.2 (M),PNY,,,M280CS2030-240-RB,,$0.330,,
13,,480 GB,Black,"2.5""",8.02,,SATA 6 Gb/s,Crucial,,,CT480BX500SSD1,,$0.125,,
14,,250 GB,Black,M.2-2280,2.89,,M.2 (M),Samsung,,,MZ-V7S250B/AM / MZ-V7S250BW,,$0.346,,
15,,2 TB,Black / Blue,"2.5""",8.89,,SATA 6 Gb/s,Western Digital,,,WDS200T2B0A,,$0.112,,
16,,500 GB,,"2.5""",6.26,,SATA 6 Gb/s,Western Digital,,,WDS500G1B0A,,$0.160,,
17,256 MB,10 TB,,"3.5""",22.78,,SATA 6 Gb/s,Western Digital,,,WD101KRYZ,,$0.044,7200,
18,,256 GB,Blue,M.2-2280,6.40,,M.2 (B+M),Inland,,,256GB NVME SSD,,$0.156,,
19,64 MB,3 TB,,"3.5""",37.50,,SATA 6 Gb/s,Toshiba,,,HDWD130XZSTA,,$0.027,7200,
20,32 MB,500 GB,,"3.5""",12.82,,SATA 6 Gb/s,Seagate,,,ST500DM009,,$0.078,5400,
21,,512 GB,,"2.5""",2.58,,SATA 6 Gb/s,SanDisk,,,SD8SB8U-512G-1122,,$0.388,,
22,64 MB,1 TB,,"3.5""",11.12,,SATA 6 Gb/s,Western Digital,,,WD1002FAEX,,$0.090,7200,
23,128 MB,8 TB,,"3.5""",15.55,,SATA 6 Gb/s,Western Digital,,,WD80EFZX,,$0.064,5400,
24,,1 TB,,"2.5""",10.00,,SATA 6 Gb/s,ADATA,,,ASU800SS-1TT-C,,$0.100,,
25,,480 GB,,"2.5""",7.21,,SATA 6 Gb/s,Silicon Power,,,SP480GBSS3S55S25,,$0.139,,
26,,128 GB,,"2.5""",1.16,,SATA 6 Gb/s,Kingston,,,SKC400S37/128G,,$0.859,,PHISON PS3110
27,64 MB,2 TB,,"3.5""",26.67,,SATA 6 Gb/s,Western Digital,,,WD20EFRX,,$0.037,5400,
28,256 MB,6 TB,,"3.5""",30.00,,SATA 6 Gb/s,Seagate,,,ST6000NE0023,,$0.033,7200,
29,128 MB,4 TB,,"3.5""",35.65,,SATA 6 Gb/s,Toshiba,,,HDWQ140XZSTA,,$0.028,7200,
30,,1 TB,,"2.5""",3.33,,SATA 6 Gb/s,Samsung,,,MZ-75E1T0B/AM / MZ-75E1T0B/EU / MZ-75E1T0BW/EU / MZ-75E1T0BW,,$0.300,,
31,128 MB,2 TB,,"2.5""",7.19,,SATA 6 Gb/s,Seagate,,,ST2000NX0403,,$0.139,7200,
32,64 MB,4 TB,,"3.5""",45.08,,SATA 6 Gb/s,Seagate,,,ST4000DM000,,$0.022,5900,
33,,1.05 TB,,M.2-2280,3.50,,M.2 (B+M),Crucial,,TLC (toggle),CT1050MX300SSD4,,$0.286,,
34,128 MB,4 TB,,"2.5""",30.77,,SATA 6 Gb/s,Seagate,,,ST4000LM016,,$0.032,5400,
35,128 MB,500 GB,,"2.5""",10.56,,SATA 6 Gb/s,Seagate,,,ST500LM034,,$0.095,7200,
36,16 MB,500 GB,,"3.5""",12.50,,SATA 3 Gb/s,Samsung,,,HD502HJ,,$0.080,7200,
37,64 MB,5 TB,,"3.5""",22.73,,SATA 6 Gb/s,Western Digital,,,WD50EZRZ,,$0.044,5400,
38,,250 GB,White,"2.5""",5.00,,SATA 6 Gb/s,Team,,,T253TR250G3C413,,$0.200,,
39,32 MB,1 TB,,"3.5""",14.29,,SATA 6 Gb/s,Seagate,,,ST31000333AS,,$0.070,7200,
40,256 MB,6 TB,,"3.5""",22.96,,SATA 6 Gb/s,Seagate,,,ST6000NM0175,,$0.044,7200,
41,256 MB,6 TB,Silver,"3.5""",35.30,,SATA 6 Gb/s,Seagate,,,ST6000VN0033,,$0.028,7200,
42,,1.6 TB,,PCI-E,2.13,,PCI-Express x4,Intel,,,SSDPEDME016T401,,$0.469,,
43,2 GB,2 TB,Black,"2.5""",4.04,,SATA 6 Gb/s,Samsung,,,MZ-76P2T0BW / MZ-76P2T0B/EU,,$0.247,,
44,64 MB,3 TB,,"3.5""",27.30,,SATA 6 Gb/s,Seagate,,,ST3000DM001,,$0.037,7200,
45,,960 GB,,"2.5""",6.81,,SATA 6 Gb/s,ADATA,,,ASU650SS-960GT-C,,$0.147,,
46,,32 GB,,"2.5""",1.39,,SATA 6 Gb/s,Transcend,,,TS32GSSD370S,,$0.718,,
47,,1 TB,Black / Blue,"2.5""",8.70,,SATA 6 Gb/s,Western Digital,,,WDS100T2B0A,,$0.115,,
48,1 GB,1 TB,Black,M.2-2280,7.41,,M.2 (M),HP,,,2YY47AA#ABC,,$0.135,,
49,,500 GB,Black,M.2-2280,4.76,,M.2 (M),Western Digital,,,WDS500G3X0C / WDS500G3X0C-00SJG0,,$0.210,,
50,,4 TB,,"2.5""",7.30,,SATA 6 Gb/s,Samsung,,,MZ-76Q4T0B/AM / MZ-76Q4T0BW,,$0.137,,
51,,240 GB,Black,M.2-2280,3.34,,M.2 (M),ADATA,XPG SX8200 240,,ASX8200NP-240GT-C,,$0.299,,
52,,250 GB,,mSATA,3.68,,mSATA,Samsung,,,MZ-M6E250BW,,$0.272,,
53,,960 GB,,"2.5""",3.43,,SATA 6 Gb/s,ADATA,SP550,,ASP550SS3-960GM-C,,$0.292,,
54,64 MB,2 TB,,"3.5""",40.04,,SATA 6 Gb/s,Western Digital,,,WD20EURX,,$0.025,5400,
55,,120 GB,,"2.5""",2.87,,SATA 6 Gb/s,Kingston,,,SUV400S37/120G,,$0.348,,
56,,512 GB,Black,M.2-2280,6.02,,M.2 (M),ADATA,,,ASX8200PNP-512GT-C,,$0.166,,
57,,1.2 TB,,"2.5""",5.48,,PCI-Express x4,Intel,,,SSDPE2ME012T401,,$0.183,,
58,64 MB,2 TB,,"3.5""",15.93,,SATA 3 Gb/s,Western Digital,,,WD2003FYYS,,$0.063,7200,
59,256 MB,8 TB,,"3.5""",26.98,,SATA 6 Gb/s,Seagate,,,ST8000NM0206,,$0.037,7200,
60,,500 GB,,"2.5""",5.56,,SATA 6 Gb/s,Crucial,,MLC,CT500BX100SSD1,,$0.180,,Silicon Motion SM2246EN
61,,1.6 TB,,PCI-E,1.70,,PCI-Express x4,Intel,,,SSDPEDMD016T401,,$0.587,,
62,64 MB,1 TB,,"3.5""",14.29,8.59 GB,SATA 6 Gb/s,Seagate,,,ST1000DX002,,$0.070,7200,
63,64 MB,500 GB,,"3.5""",8.33,,SATA 6 Gb/s,Western Digital,,,WD5003ABYZ,,$0.120,7200,
64,64 MB,2 TB,,"3.5""",29.07,,SATA 6 Gb/s,Western Digital,,,WD20PURZ,,$0.034,5400,
65,,800 GB,,"1.8""",1.96,,SATA 6 Gb/s,Intel,,MLC,SSDSC1NB800G401,,$0.510,,
66,,240 GB,Black / Orange,"2.5""",1.71,,SATA 6 Gb/s,ADATA,,,ASX950SS-240GM-C,,$0.583,,
67,64 MB,1 TB,,"3.5""",18.87,,SATA 6 Gb/s,Seagate,,,ST1000VX005,,$0.053,5900,
68,64 MB,1 TB,,"3.5""",13.70,,SATA 6 Gb/s,Western Digital,,,WD1003FZEX,,$0.073,7200,
69,,1 TB,,M.2-2280,6.25,,M.2 (B+M),Western Digital,,,WDS100T1B0B,,$0.160,,
70,,480 GB,,"2.5""",2.67,,SATA 6 Gb/s,Crucial,,,CT480BX200SSD1,,$0.375,,
71,,128 GB,,"2.5""",5.12,,SATA 6 Gb/s,MyDigitalSSD,,,MDS7-BP5e-0128G,,$0.195,,
72,,240 GB,,"2.5""",6.02,,SATA 6 Gb/s,Western Digital,,,WDS240G2G0A,,$0.166,,
73,,2 TB,,PCI-E,0.88,,PCI-Express x4,Intel,,,SSDPEDMD020T401,,$1.132,,
74,,500 GB,,"2.5""",5.95,,SATA 6 Gb/s,Seagate,,,STGS500401,,$0.168,,
75,,512 GB,,"2.5""",6.18,,SATA 6 Gb/s,Transcend,,,TS512GSSD230S,,$0.162,,
76,,250 GB,Black / Blue,"2.5""",5.01,,SATA 6 Gb/s,Western Digital,,,WDS250G2B0A,,$0.200,,
77,2 GB,2 TB,Black,"2.5""",6.71,,SATA 6 Gb/s,Samsung,,,MZ-76E2T0B/AM / MZ-76E2T0B/EU,,$0.149,,
78,256 MB,8 TB,,"3.5""",29.80,,SATA 6 Gb/s,Seagate,,,ST8000NM0105,,$0.034,7200,
79,,500 GB,,"2.5""",4.17,,SATA 6 Gb/s,Samsung,,TLC (toggle),MZ-7TE500BW,,$0.240,,Samsung MEX
80,128 MB,5 TB,,"3.5""",45.46,,SATA 6 Gb/s,Toshiba,,,HDWE150XZSTA,,$0.022,7200,
81,32 MB,4 TB,,"3.5""",24.24,,SATA 3 Gb/s,Western Digital,,,WDBSLA0040HNC-NRSN,,$0.041,7200,
82,128 MB,6 TB,,"3.5""",35.30,,SATA 6 Gb/s,Seagate,,,ST6000VN0041,,$0.028,7200,
83,32 MB,500 GB,,"3.5""",25.01,,SATA 3 Gb/s,Western Digital,,,WD5000AADS,,$0.040,5400,
84,64 MB,2 TB,,"3.5""",25.03,,SATA 6 Gb/s,Seagate,,,ST2000DL003,,$0.040,5900,
85,,120 GB,,"2.5""",3.87,,SATA 6 Gb/s,Western Digital,,,WDS120G2G0A,,$0.259,,
86,,2 TB,,M.2-2280,5.26,,M.2 (M),Intel,,,SSDPEKKW020T8X1,,$0.190,,
87,64 MB,2 TB,,"3.5""",19.23,,SATA 3 Gb/s,Western Digital,,,WD2002FYPS,,$0.052,5900,
88,,500 GB,Blue,M.2-2280,6.76,,M.2 (M),Mushkin,,,MKNSSDPL500GB-D8,,$0.148,,
89,128 MB,2 TB,,"3.5""",16.52,,SATA 6 Gb/s,Seagate,,,ST2000NM0125,,$0.061,7200,
90,2 GB,2 TB,,M.2-2280,6.04,,M.2 (B+M),Samsung,,,MZ-N6E2T0BW,,$0.166,,
91,,256 GB,Blue,M.2-2280,4.27,,M.2 (B+M),Gigabyte,,,GP-GSM2NE8256GNTD,,$0.234,,
92,64 MB,3 TB,,"3.5""",24.28,,SATA 6 Gb/s,Seagate,,,ST3000VM002,,$0.041,5900,
93,32 MB,1 TB,,"3.5""",14.49,,SATA 3 Gb/s,Hitachi,E7K1000,,HDE721010SLA330,,$0.069,7200,
94,,500 GB,Black,M.2-2280,7.71,,M.2 (M),HP,,,2YY44AA#ABC,,$0.130,,
95,,256 GB,,M.2-2280,4.89,,M.2 (B+M),ADATA,,,ASU800NS38-256GT-C,,$0.204,,
96,,128 GB,Black,M.2-2280,5.12,,M.2 (B+M),Team,,,TM8PS7128G0C101,,$0.195,,
97,,512 GB,,"2.5""",5.13,,SATA 6 Gb/s,Silicon Power,,,SP512GBSS3A55S25,,$0.195,,
98,8 MB,750 GB,,"2.5""",17.06,,SATA 3 Gb/s,Western Digital,,,WD7500BPVT,,$0.059,5400,
99,,240 GB,,"2.5""",7.27,,SATA 6 Gb/s,SanDisk,,,SDSSDA-240G-G26,,$0.137,,
100,,240 GB,,"2.5""",8.57,,SATA 6 Gb/s,Team,,,T2535T240G0C101,,$0.117,,
101,,1 TB,,"2.5""",7.14,,SATA 6 Gb/s,Seagate,,,STGS1000401,,$0.140,,
102,,256 GB,,M.2-2260,1.87,,M.2 (B+M),Transcend,,MLC (synchronous),TS256GMTS600,,$0.535,,Silicon Motion
103,64 MB,3 TB,,"3.5""",26.11,,SATA 6 Gb/s,Toshiba,,,PH3300U-1I72,,$0.038,7200,
104,256 MB,6 TB,,"3.5""",27.29,,SATA 6 Gb/s,Seagate,,,ST6000DM004,,$0.037,7200,
105,256 MB,8 TB,,"3.5""",37.06,,SATA 6 Gb/s,Seagate,,,ST8000NM0045,,$0.027,7200,
106,,256 GB,,M.2-2280,4.83,,M.2 (M),Intel,,,SSDPEKKW256G8XT,,$0.207,,
107,256 MB,10 TB,,"3.5""",29.50,,SATA 6 Gb/s,Hitachi,,,0F27352,,$0.034,7200,
108,,240 GB,,"2.5""",3.58,,SATA 6 Gb/s,Kingston,,,SUV500B/240G,,$0.279,,
109,,120 GB,,M.2-2280,3.01,,M.2 (B+M),Western Digital,,,WDS120G1G0B,,$0.332,,
110,,128 GB,,M.2-2280,3.66,,M.2 (B+M),Intel,,,SSDSCKKW128G8X1,,$0.273,,
111,8 MB,500 GB,,"3.5""",14.29,,SATA 3 Gb/s,Western Digital,,,WD5000AAJS,,$0.070,7200,
112,,120 GB,Black,"2.5""",6.16,,SATA 6 Gb/s,HP,,,4FZ32AA#ABC,,$0.162,,
113,,1.92 TB,,"2.5""",5.52,,SATA 6 Gb/s,Kingston,,,SUV500B/1920G,,$0.181,,
114,16 MB,500 GB,,"2.5""",13.16,,SATA 3 Gb/s,Seagate,,,ST9500423AS,,$0.076,7200,
115,,60 GB,,"2.5""",1.28,,SATA 6 Gb/s,Corsair,,,CSSD-F60GBLSB,,$0.783,,
116,256 MB,10 TB,,"3.5""",34.48,,SATA 6 Gb/s,Toshiba,,,HDWG11AXZSTA,,$0.029,7200,
117,,512 GB,,M.2-2280,6.40,,M.2 (B+M),Intel,,,SSDSCKKW512G8X1,,$0.156,,
118,,256 GB,,"2.5""",5.82,,SATA 6 Gb/s,Transcend,,,TS256GSSD230S,,$0.172,,
119,,500 GB,Black,M.2-2280,7.14,,M.2 (M),Crucial,,,CT500P1SSD8,,$0.140,,
120,,128 GB,,M.2-2280,2.78,,M.2 (M),Samsung,,,MZVLW128HEGR-00000,,$0.359,,
121,16 MB,320 GB,,"2.5""",10.67,,SATA 3 Gb/s,Hitachi,,,0A78743,,$0.094,7200,
122,512 MB,512 GB,Black,"2.5""",7.54,,SATA 6 Gb/s,Gigabyte,UD PRO 512,,GP-GSTFS30512GTTD,,$0.133,,
123,,512 GB,,M.2-2280,5.39,,M.2 (M),Plextor,,,PX-512M9PeG,,$0.186,,
124,16 MB,500 GB,,"3.5""",17.43,,SATA 3 Gb/s,Western Digital,,,WD5002ABYS,,$0.057,7200,
125,,240 GB,,"2.5""",7.77,,SATA 6 Gb/s,ADATA,,,ASU650SS-240GT-R,,$0.129,,
126,,250 GB,,"2.5""",5.04,,SATA 6 Gb/s,Western Digital,,,WDS250G1B0A,,$0.198,,
127,,250 GB,,M.2-2280,2.82,,M.2 (B+M),Western Digital,,,WDS250G1B0B,,$0.355,,
128,,1.5 TB,Black / Blue,PCI-E,0.60,,PCI-Express x4,Intel,,,SSDPED1D015TAX1,,$1.669,,
129,64 MB,1 TB,,"3.5""",22.28,,SATA 6 Gb/s,Western Digital,,,WD10EZEX,,$0.045,7200,
130,16 MB,500 GB,,"3.5""",7.15,,SATA 6 Gb/s,Western Digital,,,WD5000AAKX,,$0.140,7200,
131,,120 GB,,"2.5""",4.82,,SATA 6 Gb/s,Silicon Power,,,SP120GBSS3S55S25,,$0.207,,
132,,120 GB,,"2.5""",3.01,,SATA 6 Gb/s,Kingston,,,SUV500B/120G,,$0.332,,Samsung MAX
133,256 MB,8 TB,,"3.5""",33.63,,SATA 6 Gb/s,Seagate,,,ST8000VX0022,,$0.030,5900,
134,,400 GB,,PCI-E,1.45,,PCI-Express x4,Corsair,,,CSSD-N400GBNX500,,$0.687,,
135,,2.05 TB,,"2.5""",3.73,,SATA 6 Gb/s,Crucial,,,CT2050MX300SSD1,,$0.268,,
136,128 MB,8 TB,,"3.5""",40.51,,SATA 6 Gb/s,Toshiba,,,HDWN180XZSTA,,$0.025,7200,
137,,120 GB,Black,"2.5""",4.69,,SATA 6 Gb/s,Gigabyte,,,GP-GSTFS31120GNTD,,$0.213,,
138,,240 GB,Blue / Black,M.2-2280,5.33,,M.2 (M),Lexar,,,LNM600-240RBNA,,$0.187,,
139,,275 GB,,"2.5""",1.90,,SATA 6 Gb/s,Crucial,,,CT275MX300SSD1,,$0.525,,
140,16 MB,750 GB,,"2.5""",14.71,,SATA 3 Gb/s,Seagate,,,ST9750420AS,,$0.068,7200,
141,512 MB,500 GB,,"2.5""",7.16,,SATA 6 Gb/s,Crucial,,,CT500MX500SSD1,,$0.140,,
142,,512 GB,,M.2-2280,2.33,,M.2 (M),Samsung,,,MZVLW512HMJP-00000,,$0.430,,
143,16 MB,250 GB,,"3.5""",12.82,,SATA 6 Gb/s,Western Digital,,,WD2500AAKX,,$0.078,7200,
144,64 MB,6 TB,,"3.5""",31.09,,SATA 6 Gb/s,Western Digital,,,WD60PURX,,$0.032,5400,
145,,256 GB,,M.2-2280,5.12,,M.2 (M),Plextor,,,PX-256M9PeGN,,$0.195,,
146,,2 TB,,"2.5""",2.67,,SATA 6 Gb/s,Samsung,,,MZ-75E2T0B/AM / MZ-75E2T0B/EU,,$0.375,,
147,,960 GB,Black / Blue,PCI-E,0.83,,PCI-Express x4,Intel,,,SSDPED1D960GAX1,,$1.198,,
148,,32 GB,,M.2-2242,0.68,,M.2 (B+M),Transcend,,MLC (synchronous),TS32GMTS400,,$1.468,,Silicon Motion
149,256 MB,6 TB,,"3.5""",26.16,,SATA 6 Gb/s,Western Digital,,,WD6003FZBX,,$0.038,7200,
150,32 MB,1 TB,,"2.5""",16.13,,SATA 6 Gb/s,Western Digital,,,WD10JPLX,,$0.062,7200,
151,64 MB,3 TB,,"3.5""",33.37,,SATA 3 Gb/s,Toshiba,,,HDKPC08,,$0.030,7200,
152,16 MB,320 GB,,"3.5""",11.39,,SATA 6 Gb/s,Western Digital,,,WD3200AAKX,,$0.088,7200,
153,8 MB,750 GB,,"2.5""",9.73,,SATA 3 Gb/s,Western Digital,,,WD7500KPVT,,$0.103,5200,
154,,256 GB,Blue / Black,M.2-2280,6.10,,M.2 (M),Team,,,TM8FP4256G0C101,,$0.164,,
155,16 MB,250 GB,,"3.5""",10.66,,SATA 6 Gb/s,Seagate,,,ST250DM000,,$0.094,7200,
156,,120 GB,,"2.5""",4.29,,SATA 6 Gb/s,SanDisk,,,SDSSDA-120G-G26,,$0.233,,
157,256 MB,10 TB,,"3.5""",35.09,,SATA 6 Gb/s,Seagate,,,ST10000VN0004,,$0.028,7200,
158,128 MB,4 TB,,"3.5""",19.42,,SATA 6 Gb/s,Seagate,,,ST4000NM0245,,$0.052,7200,
159,64 MB,2 TB,,"3.5""",16.67,,SATA 6 Gb/s,Western Digital,,,WD2000F9YZ,,$0.060,7200,
160,,960 GB,,"2.5""",2.13,,SATA 6 Gb/s,PNY,,,SSD7CS1311-960-RB,,$0.469,,
161,16 MB,2 TB,,"3.5""",32.79,,SAS 6 Gb/s,Seagate,,,ST32000444SS,,$0.030,7200,
162,256 MB,12 TB,,"3.5""",32.42,,SATA 6 Gb/s,Seagate,,,ST12000VN0007,,$0.031,7200,
163,,256 GB,,"2.5""",1.56,,SATA 6 Gb/s,SanDisk,,,SD8SBAT-256G-1122,,$0.641,,
164,64 MB,3 TB,,"3.5""",55.40,,SATA 6 Gb/s,Hitachi,HDS723030ALA640,,0F12450,,$0.018,7200,
165,,1.92 TB,,M.2-22110,1.59,,M.2 (M),Seagate,,,XP1920LE30012,,$0.628,,
166,,120 GB,,"2.5""",0.41,,SATA 6 Gb/s,Samsung,,TLC (toggle),MZ-7TD120KW,,$2.454,,Samsung MDX
167,128 MB,4 TB,,"3.5""",26.69,,SATA 6 Gb/s,Western Digital,,,WD4002FYYZ,,$0.037,7200,
168,128 MB,4 TB,,"3.5""",17.39,,SATA 6 Gb/s,Hitachi,,,0S04005,,$0.057,7200,
169,,120 GB,Black / Yellow,"2.5""",4.82,,SATA 6 Gb/s,Mushkin,,,MKNSSDSR120GB,,$0.207,,
170,128 MB,4 TB,,"2.5""",31.75,,SATA 6 Gb/s,Seagate,,,ST4000LM024,,$0.031,5400,
171,2 GB,2 TB,Black,M.2-2280,3.82,,M.2 (M),Samsung,,,MZ-V7E2T0BW,,$0.261,,
172,,1 TB,,"2.5""",3.33,,SATA 6 Gb/s,Samsung,,3D V-NAND,MZ-7KE1T0BW,,$0.300,,Samsung MEX
173,,480 GB,,"2.5""",5.33,,SATA 6 Gb/s,PNY,,,SSD7CS1311-480-RB,,$0.187,,
174,64 MB,2 TB,,"3.5""",37.74,,SATA 6 Gb/s,Western Digital,,,WD20EZRZ,,$0.026,5400,
175,8 MB,500 GB,,"2.5""",13.51,,SATA 3 Gb/s,Hitachi,,,0J11285,,$0.074,5400,
176,256 MB,256 GB,,"2.5""",4.66,,SATA 6 Gb/s,Gigabyte,UD PRO 256,,GP-GSTFS30256GTTD,,$0.215,,
177,16 MB,500 GB,,"2.5""",13.16,,SATA 3 Gb/s,Seagate,,,ST9500420AS,,$0.076,7200,
178,,960 GB,Black / Red,"2.5""",7.51,,SATA 6 Gb/s,SanDisk,,,SDSSDA-960G-G26,,$0.133,,
179,,240 GB,,"2.5""",4.04,,SATA 6 Gb/s,Kingston,,Varies,SV300S3N7A/240G,,$0.248,,Sandforce SF-2281
180,8 MB,1 TB,,"2.5""",18.90,,SATA 6 Gb/s,Seagate,,,ST1000LM024,,$0.053,5400,
181,,250 GB,Black / Yellow,"2.5""",7.17,,SATA 6 Gb/s,Mushkin,,,MKNSSDSR250GB,,$0.140,,
