,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
196,,Blue / Black,800 - 2000 RPM,"141.22 mm / 5.56""",False,Rosewill,,23.6 dB,ROCC-16002,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
197,Ball,,1100 - 6000 RPM,"28 mm / 1.102""",False,Dynatron,,19.1 dB - 53.8 dB,R13,,LGA2011-3 Narrow
198,Fluid Dynamic,,750 RPM,"41 mm / 1.614""",False,ARCTIC,Alpine M1,20.5 dB,ACALP00006A,,AM1
199,,,2000 RPM,"124.8 mm / 4.913""",False,be quiet!,Pure Rock Slim,13.1 dB - 25.4 dB,BK008,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156"
200,,,500 - 1800 RPM,,True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN 360EX WHITE RGB / CAPTAIN 360EX RGB WHITE / CAPTAIN 360EX RGB WH,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
201,Sleeve,,650 - 2200 RPM,"59 mm / 2.323""",False,Reeven,Brontes RC-1001b,10.5 dB - 31.67 dB,RC-1001b,,"AM1, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
202,,,1000 - 2500 RPM,"45 mm / 1.772""",False,Phanteks,,19 dB - 26 dB,PH-TC90LS,,"LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
203,,,900 - 1800 RPM,"60 mm / 2.362""",False,Deepcool,,18.2 dB - 32.4 dB,GABRIEL,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156"
204,,,2435 RPM,,True,Corsair,H100i v2,37.7 dB,CW-9060025-WW / H100i v2,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
205,,,600 - 1800 RPM,"157 mm / 6.181""",False,Phanteks,,21.9 dB - 27.6 dB,PH-TC12DX_BK,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
