,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
364,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-4790K,4 GHz,CM8064601710501,True,Hyper-Threading,LGA1150,88 W,4.4 GHz
365,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 6 MB,None,45 nm,Intel,,Core 2 Duo E8400,3 GHz,EU80570PJ0806M,False,,LGA775,65 W,
366,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 6 MB,None,45 nm,Intel,,Core 2 Quad Q9550,2.83 GHz,BX80569Q9550,False,,LGA775,95 W,
367,4,64-bit,True,Intel HD Graphics 3000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Core i7-2600K,3.4 GHz,BX80623I72600K,True,Hyper-Threading,LGA1155,95 W,
368,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22 nm,Intel,,Xeon E5-2695 V2,2.4 GHz,BX80635E52695V2,True,Hyper-Threading,LGA2011,115 W,3.2 GHz
369,4,64-bit,False,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,None,45 nm,AMD,,Athlon II X4 620,2.6 GHz,ADX620WFK42GI,False,,AM3,95 W,
370,4,64-bit,True,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,Core i5-6400,2.7 GHz,BX80662I56400,False,,LGA1151,65 W,3.3 GHz
371,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 6 MB,None,45 nm,Intel,,Core 2 Extreme QX9775,3.2 GHz,BX80574QX9775,False,,LGA771,150 W,
372,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14 nm,Intel,,,3.4 GHz,BX80671I76800K,True,Hyper-Threading,LGA2011-3,140 W,3.6 GHz
373,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 3 MB,None,45 nm,Intel,,Core 2 Duo E7200,2.53 GHz,BX80571E7200,False,,LGA775,65 W,
374,6,64-bit,True,False,"6 x 64 kB Instruction, 6 x 32 kB Data",6 x 512 kB,1 x 15.99 MB,12 nm,AMD,64 GB,,3.4 GHz,YD2600BBAFBOX,True,,AM4,65 W,3.9 GHz
375,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14 nm,Intel,64 GB,,3.7 GHz,BX80684I78700K,True,Hyper-Threading,LGA1151,95 W,4.7 GHz
376,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,65 nm,Intel,,Core 2 Duo E4500,2.2 GHz,BX80557E4500,False,,LGA775,65 W,
377,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2660 V3,2.6 GHz,BX80644E52660V3,True,Hyper-Threading,LGA2011-3,105 W,3.3 GHz
378,24,64-bit,False,False,"24 x 64 kB Instruction, 24 x 32 kB Data",24 x 512 kB,8 x 8 MB,12 nm,AMD,1 TB,,3 GHz,YD297XAZAFWOF,True,,TR4,250 W,4.2 GHz
379,2,64-bit,True,Intel HD Graphics 530,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,Core i3-6300,3.8 GHz,BX80662I36300,True,Hyper-Threading,LGA1151,51 W,
380,4,64-bit,True,False,"2 x 64 kB Instruction, 4 x 16 kB Data",2 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-4350,4.2 GHz,FD4350FRHKBOX,False,,AM3+,125 W,
381,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,14 nm,Intel,1.5 TB,Xeon E5-2687W V4,3 GHz,BX80660E52687V4,True,Hyper-Threading,LGA2011-3,160 W,3.5 GHz
382,4,64-bit,False,False,"2 x 96 kB Instruction, 4 x 16 kB Data",2 x 2 MB,None,28 nm,AMD,,Athlon X4 880K,4 GHz,AD880KXBI44JC,False,,FM2+,95 W,4.2 GHz
383,6,64-bit,True,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,3 GHz,BX80684I58500,False,,LGA1151,65 W,4.1 GHz
384,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6750,2.66 GHz,HH80557PJ0674MG,False,,LGA775,65 W,
385,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 256 kB,1 x 6 MB,32 nm,Intel,,Core i5-2400S,2.5 GHz,BX80623I52400S,False,,LGA1155,65 W,
386,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,45 nm,Intel,,Pentium E6500,2.93 GHz,BX80571E6500,False,,LGA775,65 W,
387,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14 nm,Intel,1.5 TB,,3.6 GHz,BX80660E51650V4,True,Hyper-Threading,LGA2011-3,140 W,4 GHz
388,8,64-bit,True,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FD8350FRHKHBX Wraith,4 GHz,FD8350FRHKHBX,False,,AM3+,125 W,
389,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 10 MB,22 nm,Intel,,Xeon E5-2609 V2,2.5 GHz,BX80635E52609V2,False,,LGA2011,80 W,
390,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 4 MB,None,65 nm,Intel,,Core 2 Extreme QX6800,2.93 GHz,BX80562QX6800,False,,LGA775,100 W,
